"WIN_Site_ID","Longitude","Latitude","NH4"
61710097,115.811527,-31.406835,0.41
61611257,115.72847,-31.633183,0.31
61611256,115.72847,-31.633183,0.515
61611249,115.735685,-31.635277,0.1055
61610737,115.823376,-31.725301,0.34
61610730,115.831873,-31.738739,0.931230769230769
61610729,115.831852,-31.738739,3.83846153846154
61610728,115.831821,-31.738739,0.156769230769231
61610628,115.784403,-31.725629,1.55
61419855,115.846834,-32.214052,0.0831428571428571
61419853,115.832217,-32.216794,4.71428571428571
61419852,115.832211,-32.216782,5.8
61419851,115.832204,-32.21677,5.37142857142857
61410370,115.841244,-32.145235,0.294285714285714
61410369,115.841255,-32.14519,0.197142857142857
61410368,115.819603,-32.149392,3.93857142857143
61410367,115.819603,-32.149419,2.19142857142857
