"WIN_Site_ID","Longitude","Latitude","NOx"
61710097,115.811527,-31.406835,0.048
61611257,115.72847,-31.633183,0.01
61611256,115.72847,-31.633183,0.01
61611249,115.735685,-31.635277,0.01
61610737,115.823376,-31.725301,0.0103333333333333
61610730,115.831873,-31.738739,0.893461538461538
61610729,115.831852,-31.738739,0.312923076923077
61610728,115.831821,-31.738739,0.690769230769231
61610628,115.784403,-31.725629,0.01
61419855,115.846834,-32.214052,0.0378571428571429
61419853,115.832217,-32.216794,0.0142857142857143
61419852,115.832211,-32.216782,0.01
61419851,115.832204,-32.21677,0.0101428571428571
61410370,115.841244,-32.145235,0.0104285714285714
61410369,115.841255,-32.14519,0.0155714285714286
61410368,115.819603,-32.149392,0.543142857142857
61410367,115.819603,-32.149419,0.410857142857143
